,full_text
93,Calon wakil presiden Muhaimin Iskandar mengklaim kalangan Nahdlatul Ulama solid memberikan dukungan kepadanya bersama calon presiden Anies Baswedan.   Namun  Muhaimin menyatakan mendapatkan informasi ada warga NU yang diberikan uang untuk tak mendukung mereka.   #TempoQuotes https://t.co/fCWGyqBosN
94,Dalam kontestasi politik  jauhi narasi penghinaan. Termasuk pula penghinaan fisik  Fokus mencari simpati dengan promosi gagasan yang konstruktif dan solutif  jauhi konflik yang kontraproduktif   Pak Anies penuh gagasan dan rekam jejak prestasi. Fokus aja di situ 👍🙏 #AMINAjaDulu
95,Gempar! BuzzeRp Prabowo Semakin Kesulitan Membuat Hoax Untuk Merusak nama Anies  Karena Tim Anies Punya Pasukan Cyber Anti Hoax. Beberapa Hoax Yang Disebar BuzzeRp Prabowo Selalu Terbantahkan dengan Fakta dan Data.  https://t.co/TL8qoL51sU
96,Kemarin di #DesakAnies  secara simbolis pak Anies Baswedan mencoret masalah-masalah nelayan..  AMIN menang  nelayan sejahtera No 1 💪🏻  #AMINAjaDulu #AniesMuhaimin2024 https://t.co/DOW1Gg12gR
97,Gw demen dengan penjelasan Bang Ucok pendana Anies di Pilkada dan sekarang  sungguh menyesalkan omongan gemblung bawaslu yg menuduh anies tidak pidana tapi gak bisa dipidana  ini omongan tolol cam mana? #GibranAntiPerubahan  #GibranAntiPerubahan https://t.co/zFyWfzu5yJ
98,"Geng Abu Abu mulai resah dengan acara desak Anies"" https://t.co/8uVyWwbLO1"""
99,Video Ini Terus Sebarkan Jangan Berhenti di Kamu. Ceritakan Bahwa di Perjuangan AMIN Lahir Orang Orang Hebat Dan Ikhlas. #TeamElangaPutih @aniesbaswedan @cakimiNOW https://t.co/KjYdnBfW2U
100,Kampung Kamboje bukanlah kampung pertama yang kami resmikan sebagai Kampung Pendukung ANIES.   Bergerak masif ditingkat Gugus Terdepan  menjaga teritorial di tingkat TPS.   Bukti bahwa Gerakan Rakyat itu NYATA  #SobatAnies #AMINAjaDulu https://t.co/kyxBo1jDBr
101,Desak Anies di Pontianak  merupakan Desak Anies yang dihadiri peserta paling banyak. Membahas mengenai infrastruktur teknologi  👍💯  Capres pilihan anak muda! #AMINkanIndonesia https://t.co/j4rXzZeY4I
102,[ Desak Anies ] Subsidi Solar Nelayan https://t.co/g4A7ZinlEJ
