all_slang,tokens
takat,['takat']
aku,['aku']
tak,['tak']
tau,['tau']
pun,['pun']
do,['do']
ini,['ini']
ini,['ini']
kenapa,['kenapa']
ini,['ini']
kamis,['kamis']
on,['on']
man,['man']
pelajar,['pelajar']
dan,['dan']
pemula,['pemula']
yang,['yang']
lagi,['lagi']
ada,['ada']
masalah,['masalah']
jerawat,['jerawat']
bakal,['bakal']
suka,['suka']
serum,['serum']
ini,['ini']
juga,['juga']
kenapa,['kenapa']
habis,['habis']
semua,['semua']
once,['once']
ingat,['ingat']
ada,['ada']
duit,['duit']
ke,['ke']
kedua,['kedua']
yang,['yang']
satu,['satu']
ini,['ini']
eco,['eco']
banget,['banget']
jadi,['jadi']
mengurangi,['mengurangi']
limbah,['limbah']
cuman,['cuman']
satu,['satu']
wadah,['wadah']
aja,['aja']
buat,['buat']
di,['di']
pada,['pada']
tau,['tau']
produk,['produk']
baru,['baru']
tebak,['tebak']
apa,['apa']
ini,['ini']
pertama,['pertama']
kali,['kali']
ada,['ada']
di,['di']
Indonesia,['Indonesia']
dengan,['dengan']
pikir,['pikir']
lama,['lama']
langsung,['langsung']
aku,['aku']
dan,['dan']
bilang,['bilang']
kalau,['kalau']
dia,['dia']
lulusan,['lulusan']
biasa,['biasa']
dan,['dan']
masuk,['masuk']
dia,['dia']
bilang,['bilang']
mungkin,['mungkin']
jadi,['jadi']
yang,['yang']
tentang,['tentang']
dan,['dan']
bisa,['bisa']
jadi,['jadi']
tenang,['tenang']
makanan,['makanan']
bila,['bila']
buat,['buat']
wajib,['wajib']
kan,['kan']
serum,['serum']
ni,['ni']
sekali,['sekali']
suka,['suka']
sangat,['sangat']
sangat,['sangat']
memang,['memang']
akan,['akan']
pakai,['pakai']
dah,['dah']
nak,['nak']
habis,['habis']
sampai,['sampai']
kena,['kena']
goncang,['goncang']
setiap,['setiap']
kali,['kali']
nak,['nak']
pakai,['pakai']
na,['na']
jadi,['jadi']
pertama,['pertama']
buat,['buat']
lelaki,['lelaki']
kau,['kau']
tapi,['tapi']
no,['no']
sungguh,['sungguh']
tak,['tak']
adil,['adil']
to,['to']
global,['global']
sat,['sat']
set,['set']
buat,['buat']
belum,['belum']
tau,['tau']
lokal,['lokal']
loh,['loh']
sangat,['sangat']
aku,['aku']
deh,['deh']
bakal,['bakal']
masuk,['masuk']
cocok,['cocok']
sama,['sama']
kulit,['kulit']
sensitif,['sensitif']
kuliah,['kuliah']
singkat,['singkat']
kenapa,['kenapa']
kita,['kita']
harus,['harus']
alergi,['alergi']
bisa,['bisa']
ganti,['ganti']
sama,['sama']
lain,['lain']
